Menu_id,Item_id,User_id,Name,Contact,Address,Bill_id,Amount,Date,Payment_method,Item_name,Content,Price,Order_id,Quantity,Staff_id,Staff_name,Admin_id,Admin_name
2210,1,1,Aayush,7719865551,"Apollo Bandar, Colaba, Mumbai",2200,5,2024-04-05,Cash,Vada Pav,"Vadapav is a popular Indian street food consisting of a spicy mashed potato patty sandwiched between soft bread rolls, typically served with chutneys and spices.",14,241,1,7891,Arun,80031,Arun_S
2210,2,2,Aditi,7719865552,"Dr E Moses Rd, Gandhi Nagar, Upper Worli, Mumbai",2201,8,2024-04-05,Cash,Samosa Pav,"Samosa pav is a fusion street food where a samosa is sandwiched between a pav bread roll, typically served with chutneys and sometimes garnished with onions and cilantro.",14,123,2,7892,Kishor,80037,Mukesh
2210,3,3,Amrut,7719865553,"Juhu Tara Rd, Uditi Tarang Housing Colony, Juhu Tara, Juhu, Mumbai",2202,45,2024-04-05,Cash,Vada Plate,"Vadaplate is a popular Indian street food consisting of spicy mashed potato fritters sandwiched between soft bread rolls, typically served with chutneys and optional toppings.",22,59,1,7893,Swaraj,80037,Mukesh
2210,4,4,Toro,7719865554,"Sahar Airport Rd, Ashok Nagar, Andheri East, Mumbai",2203,10,2024-04-05,Cash,Samosa Plate,"A samosa plate typically consists of crispy triangular pastry filled with spiced potatoes and peas, served alongside tangy tamarind chutney and minty coriander chutney.",24,13,1,7894,Dinesh,80037,Mukesh
2210,5,5,Aaditya,7719865555,"Balraj Sahani Marg, Juhu, Mumbai",2204,10,2024-04-05,Cash,Poha,"Poha is a traditional Indian breakfast dish made from flattened rice, typically cooked with onions, mustard seeds, curry leaves, and spices.",24,324,1,7895,Rajesh,80031,Arun_S
2210,6,6,Aastha,7719865556,"Sakinaka Junction, Andheri - Kurla Rd, Andheri East, Mumbai",2205,20,2024-04-05,Cash,Idli-Sambhar,Idli sambar is a traditional South Indian dish consisting of steamed rice cakes (idli) served with a flavorful lentil-based stew (sambar).,24,255,1,7891,Arun,80031,Arun_S
2210,7,7,Abhi,7719865557,"Juhu Beach, Juhu, Mumbai, Maharashtra",2206,10,2024-04-05,Cash,Upma,"Upma is a savory South Indian dish made from roasted semolina (rava), cooked with spices, vegetables, and sometimes nuts.",25,215,1,7895,Rajesh,80037,Mukesh
2210,8,8,Abhijit,7719865558,"Opposite Mittal Industrial Estate, Andheri Kurla Rd, Andheri East, Mumbai",2207,20,2024-04-05,Cash,Upma Poha,"Upma poha is a traditional Indian breakfast dish made from flattened rice (poha) cooked with onions, mustard seeds, curry leaves, and various spices.",28,67,1,7892,Kishor,80037,Mukesh
2210,9,9,Achal,7719865559,"Andheri - Kurla Rd, J B Nagar, Andheri East, Mumbai",2208,10,2024-04-05,Cash,Medu Wada,"Medu vada is a South Indian fried snack made from a batter of urad dal (black gram) seasoned with spices and herbs, typically served with chutneys like coconut chutney and sambar.",26,20,1,7895,Rajesh,80037,Mukesh
2210,10,10,Anam,7719865550,"Chhatrapati Shivaji International Airport, IA Project Rd, Navpada",2209,20,2024-04-05,Cash,Batata Wada,Batatawada is a popular Indian street food consisting of spicy mashed potato filling coated in chickpea flour batter and deep-fried until crispy.,29,444,1,7893,Swaraj,80037,Mukesh
2210,11,11,Dhruv,7620489261,"Apollo Bandar, Colaba, Mumbai, Maharashtra 400001, India",2210,40,2024-04-05,Cash,Misal Pav,"Misal pav is a spicy Maharashtrian street food dish consisting of sprouted lentils cooked in a fiery gravy, served with pav (bread rolls), topped with various garnishes like farsan (crunchy mix), onions, and coriander.",31,288,2,7892,Kishor,80037,Mukesh
2210,12,12,Gaurav,7620489262,"opp. Domestic Airport, Navpada, Vile Parle East, Vile Parle, Mumbai",2211,5,2024-04-05,Cash,Vada Usal,Vadausas are savory South Indian snacks consisting of crispy fried lentil fritters served with a tangy and spicy lentil stew.,29,234,1,7894,Dinesh,80031,Arun_S
